source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2024,18730,4,405,01,Sarah Te-Biasu,4,14,Allie Kubek,JUMPER,16,65.0,73.0,14 Allie Kubek JUMPER GOOD (16 Pt); 01 Sarah Te-Biasu Assist (4 Asst)
2024,18730,4,316,01,Sarah Te-Biasu,5,02,Kaylene Smikle,LAYUP,19,69.0,74.0,02 Kaylene Smikle LAYUP GOOD (19 Pt); 01 Sarah Te-Biasu Assist (5 Asst)
2024,18730,4,246,14,Allie Kubek,4,00,Shyanne Sellers,3PTR,15,72.0,76.0,00 Shyanne Sellers 3PTR GOOD (15 Pt); 14 Allie Kubek Assist (4 Asst)
2024,18730,4,199,14,Allie Kubek,5,00,Shyanne Sellers,JUMPER,17,74.0,78.0,00 Shyanne Sellers JUMPER GOOD (17 Pt); 14 Allie Kubek Assist (5 Asst)
2024,18730,4,12,02,Kaylene Smikle,1,01,Sarah Te-Biasu,3PTR,16,83.0,83.0,01 Sarah Te-Biasu 3PTR GOOD (16 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18730,5,263,00,Shyanne Sellers,1,14,Allie Kubek,LAYUP,18,85.0,83.0,14 Allie Kubek LAYUP GOOD (18 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18730,6,151,01,Sarah Te-Biasu,6,10,Mir McLean,LAYUP,8,103.0,98.0,10 Mir McLean LAYUP GOOD (8 Pt); 01 Sarah Te-Biasu Assist (6 Asst)
2024,18360,1,584,06,Saylor Poffenbarger,1,15,Christina Dalce,LAYUP,2,0.0,2.0,15 Christina Dalce LAYUP GOOD (2 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18360,1,558,15,Christina Dalce,1,01,Sarah Te-Biasu,3PTR,3,0.0,5.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 15 Christina Dalce Assist (1 Asst)
2024,18360,1,501,00,Shyanne Sellers,1,06,Saylor Poffenbarger,3PTR,3,0.0,8.0,06 Saylor Poffenbarger 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18360,1,427,14,Allie Kubek,1,15,Christina Dalce,LAYUP,4,2.0,10.0,15 Christina Dalce LAYUP GOOD (4 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18360,1,405,14,Allie Kubek,2,01,Sarah Te-Biasu,3PTR,6,4.0,13.0,01 Sarah Te-Biasu 3PTR GOOD (6 Pt); 14 Allie Kubek Assist (2 Asst)
2024,18360,1,213,01,Sarah Te-Biasu,1,14,Allie Kubek,LAYUP,2,6.0,19.0,14 Allie Kubek LAYUP GOOD (2 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18360,1,164,01,Sarah Te-Biasu,2,14,Allie Kubek,LAYUP,4,6.0,21.0,14 Allie Kubek LAYUP GOOD (4 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18360,1,32,02,Kaylene Smikle,1,10,Mir McLean,LAYUP,2,6.0,23.0,10 Mir McLean LAYUP GOOD (2 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18360,2,486,06,Saylor Poffenbarger,2,02,Kaylene Smikle,3PTR,7,11.0,28.0,02 Kaylene Smikle 3PTR GOOD (7 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18360,2,363,15,Christina Dalce,2,06,Saylor Poffenbarger,LAYUP,5,15.0,30.0,06 Saylor Poffenbarger LAYUP GOOD (5 Pt); 15 Christina Dalce Assist (2 Asst)
2024,18360,2,294,01,Sarah Te-Biasu,3,42,Amari DeBerry,JUMPER,2,17.0,32.0,42 Amari DeBerry JUMPER GOOD (2 Pt); 01 Sarah Te-Biasu Assist (3 Asst)
2024,18360,2,116,02,Kaylene Smikle,2,15,Christina Dalce,LAYUP,6,23.0,39.0,15 Christina Dalce LAYUP GOOD (6 Pt); 02 Kaylene Smikle Assist (2 Asst)
2024,18360,2,58,15,Christina Dalce,3,06,Saylor Poffenbarger,JUMPER,7,23.0,41.0,06 Saylor Poffenbarger JUMPER GOOD (7 Pt); 15 Christina Dalce Assist (3 Asst)
2024,18360,3,582,15,Christina Dalce,4,00,Shyanne Sellers,JUMPER,2,24.0,43.0,00 Shyanne Sellers JUMPER GOOD (2 Pt); 15 Christina Dalce Assist (4 Asst)
2024,18360,3,385,00,Shyanne Sellers,2,01,Sarah Te-Biasu,3PTR,14,33.0,53.0,01 Sarah Te-Biasu 3PTR GOOD (14 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18360,3,272,01,Sarah Te-Biasu,4,06,Saylor Poffenbarger,JUMPER,11,35.0,55.0,06 Saylor Poffenbarger JUMPER GOOD (11 Pt); 01 Sarah Te-Biasu Assist (4 Asst)
2024,18360,4,359,03,Emily Fisher,1,15,Christina Dalce,JUMPER,8,60.0,66.0,15 Christina Dalce JUMPER GOOD (8 Pt); 03 Emily Fisher Assist (1 Asst)
2024,18360,4,131,06,Saylor Poffenbarger,3,02,Kaylene Smikle,LAYUP,17,69.0,77.0,02 Kaylene Smikle LAYUP GOOD (17 Pt); 06 Saylor Poffenbarger Assist (3 Asst)
2024,18356,1,364,06,Saylor Poffenbarger,1,00,Shyanne Sellers,3PTR,3,9.0,6.0,00 Shyanne Sellers 3PTR GOOD (3 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18356,1,236,01,Sarah Te-Biasu,1,24,Bri McDaniel,JUMPER,4,13.0,13.0,24 Bri McDaniel JUMPER GOOD (4 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18356,1,30,24,Bri McDaniel,1,14,Allie Kubek,LAYUP,2,17.0,19.0,14 Allie Kubek LAYUP GOOD (2 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18356,2,577,02,Kaylene Smikle,1,00,Shyanne Sellers,3PTR,6,20.0,19.0,00 Shyanne Sellers 3PTR GOOD (6 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18356,2,343,00,Shyanne Sellers,1,06,Saylor Poffenbarger,LAYUP,4,26.0,25.0,06 Saylor Poffenbarger LAYUP GOOD (4 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18356,2,257,00,Shyanne Sellers,2,06,Saylor Poffenbarger,3PTR,7,31.0,27.0,06 Saylor Poffenbarger 3PTR GOOD (7 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18356,2,30,06,Saylor Poffenbarger,2,10,Mir McLean,LAYUP,4,39.0,35.0,10 Mir McLean LAYUP GOOD (4 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18356,2,0,01,Sarah Te-Biasu,2,02,Kaylene Smikle,LAYUP,4,42.0,37.0,02 Kaylene Smikle LAYUP GOOD (4 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18356,3,518,00,Shyanne Sellers,3,02,Kaylene Smikle,3PTR,7,47.0,42.0,02 Kaylene Smikle 3PTR GOOD (7 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18356,3,244,14,Allie Kubek,1,10,Mir McLean,LAYUP,9,57.0,46.0,10 Mir McLean LAYUP GOOD (9 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18356,3,227,01,Sarah Te-Biasu,3,14,Allie Kubek,3PTR,5,60.0,46.0,14 Allie Kubek 3PTR GOOD (5 Pt); 01 Sarah Te-Biasu Assist (3 Asst)
2024,18356,3,91,02,Kaylene Smikle,2,14,Allie Kubek,LAYUP,9,66.0,52.0,14 Allie Kubek LAYUP GOOD (9 Pt); 02 Kaylene Smikle Assist (2 Asst)
2024,18356,3,34,01,Sarah Te-Biasu,4,14,Allie Kubek,3PTR,12,71.0,57.0,14 Allie Kubek 3PTR GOOD (12 Pt); 01 Sarah Te-Biasu Assist (4 Asst)
2024,18356,4,535,02,Kaylene Smikle,3,14,Allie Kubek,3PTR,15,76.0,61.0,14 Allie Kubek 3PTR GOOD (15 Pt); 02 Kaylene Smikle Assist (3 Asst)
2024,18356,4,335,00,Shyanne Sellers,4,15,Christina Dalce,LAYUP,6,82.0,69.0,15 Christina Dalce LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18356,4,296,00,Shyanne Sellers,5,01,Sarah Te-Biasu,3PTR,5,85.0,71.0,01 Sarah Te-Biasu 3PTR GOOD (5 Pt); 00 Shyanne Sellers Assist (5 Asst)
2024,18356,4,264,00,Shyanne Sellers,6,14,Allie Kubek,LAYUP,17,87.0,71.0,14 Allie Kubek LAYUP GOOD (17 Pt); 00 Shyanne Sellers Assist (6 Asst)
2024,18356,4,216,00,Shyanne Sellers,7,01,Sarah Te-Biasu,3PTR,8,90.0,73.0,01 Sarah Te-Biasu 3PTR GOOD (8 Pt); 00 Shyanne Sellers Assist (7 Asst)
2024,18356,4,179,01,Sarah Te-Biasu,5,00,Shyanne Sellers,3PTR,27,93.0,73.0,00 Shyanne Sellers 3PTR GOOD (27 Pt); 01 Sarah Te-Biasu Assist (5 Asst)
2024,18357,1,423,01,Sarah Te-Biasu,1,14,Allie Kubek,LAYUP,2,3.0,6.0,14 Allie Kubek LAYUP GOOD (2 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18357,1,420,00,Shyanne Sellers,1,02,Kaylene Smikle,LAYUP,2,5.0,6.0,02 Kaylene Smikle LAYUP GOOD (2 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18357,1,207,15,Christina Dalce,1,06,Saylor Poffenbarger,LAYUP,2,7.0,19.0,06 Saylor Poffenbarger LAYUP GOOD (2 Pt); 15 Christina Dalce Assist (1 Asst)
2024,18357,2,195,10,Mir McLean,1,15,Christina Dalce,LAYUP,5,16.0,39.0,15 Christina Dalce LAYUP GOOD (5 Pt); 10 Mir McLean Assist (1 Asst)
2024,18357,2,152,02,Kaylene Smikle,1,15,Christina Dalce,LAYUP,7,18.0,40.0,15 Christina Dalce LAYUP GOOD (7 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18357,3,483,02,Kaylene Smikle,2,06,Saylor Poffenbarger,LAYUP,4,22.0,52.0,06 Saylor Poffenbarger LAYUP GOOD (4 Pt); 02 Kaylene Smikle Assist (2 Asst)
2024,18357,3,417,14,Allie Kubek,1,15,Christina Dalce,LAYUP,9,24.0,52.0,15 Christina Dalce LAYUP GOOD (9 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18357,4,535,01,Sarah Te-Biasu,2,42,Amari DeBerry,JUMPER,2,41.0,73.0,42 Amari DeBerry JUMPER GOOD (2 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18357,4,160,05,Ava McKennie,1,42,Amari DeBerry,LAYUP,6,49.0,84.0,42 Amari DeBerry LAYUP GOOD (6 Pt); 05 Ava McKennie Assist (1 Asst)
2024,18361,1,543,15,Christina Dalce,1,02,Kaylene Smikle,LAYUP,2,2.0,2.0,02 Kaylene Smikle LAYUP GOOD (2 Pt); 15 Christina Dalce Assist (1 Asst)
