source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2019,11446,3,158,15,Ashley Owusu,4,24,Stephanie Jones,LAYUP,2,67.0,26.0,24 Stephanie Jones LAYUP GOOD (5 Pt); 15 Ashley Owusu Assist (4 Asst)
2019,11446,3,122,15,Ashley Owusu,5,14,Diamond Miller,3PTR,3,70.0,26.0,14 Diamond Miller 3PTR GOOD (10 Pt); 15 Ashley Owusu Assist (5 Asst)
2019,11446,3,93,32,Sara Vujacic,1,14,Diamond Miller,LAYUP,2,72.0,26.0,14 Diamond Miller LAYUP GOOD (12 Pt); 32 Sara Vujacic Assist (1 Asst)
2019,11446,4,571,01,Shakira Austin,3,32,Sara Vujacic,3PTR,3,81.0,28.0,32 Sara Vujacic 3PTR GOOD (8 Pt); 01 Shakira Austin Assist (3 Asst)
2019,11446,4,500,05,Kaila Charles,3,11,Taylor Mikesell,3PTR,3,84.0,33.0,11 Taylor Mikesell 3PTR GOOD (9 Pt); 05 Kaila Charles Assist (3 Asst)
2019,11446,4,424,32,Sara Vujacic,2,05,Kaila Charles,LAYUP,2,88.0,35.0,05 Kaila Charles LAYUP GOOD (13 Pt); 32 Sara Vujacic Assist (2 Asst)
2019,11446,4,388,13,Faith Masonius,1,11,Taylor Mikesell,3PTR,3,91.0,35.0,11 Taylor Mikesell 3PTR GOOD (12 Pt); 13 Faith Masonius Assist (1 Asst)
2019,11446,4,346,14,Diamond Miller,3,32,Sara Vujacic,3PTR,3,94.0,38.0,32 Sara Vujacic 3PTR GOOD (11 Pt); 14 Diamond Miller Assist (3 Asst)
2019,11446,4,315,32,Sara Vujacic,3,14,Diamond Miller,LAYUP,2,96.0,38.0,14 Diamond Miller LAYUP GOOD (16 Pt); 32 Sara Vujacic Assist (3 Asst)
2019,11446,4,250,15,Ashley Owusu,6,13,Faith Masonius,LAYUP,2,99.0,40.0,13 Faith Masonius LAYUP GOOD (2 Pt); 15 Ashley Owusu Assist (6 Asst)
2019,11447,1,543,15,Ashley Owusu,1,01,Shakira Austin,LAYUP,2,0.0,2.0,01 Shakira Austin LAYUP GOOD (2 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11447,1,436,24,Stephanie Jones,1,01,Shakira Austin,JUMPER,2,0.0,4.0,01 Shakira Austin JUMPER GOOD (4 Pt); 24 Stephanie Jones Assist (1 Asst)
2019,11447,1,410,14,Diamond Miller,1,22,Blair Watson,LAYUP,2,0.0,6.0,22 Blair Watson LAYUP GOOD (2 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11447,2,545,15,Ashley Owusu,2,11,Taylor Mikesell,3PTR,3,5.0,16.0,11 Taylor Mikesell 3PTR GOOD (4 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11447,2,444,24,Stephanie Jones,2,01,Shakira Austin,JUMPER,2,6.0,18.0,01 Shakira Austin JUMPER GOOD (9 Pt); 24 Stephanie Jones Assist (2 Asst)
2019,11447,2,301,14,Diamond Miller,2,22,Blair Watson,3PTR,3,6.0,22.0,22 Blair Watson 3PTR GOOD (7 Pt); 14 Diamond Miller Assist (2 Asst)
2019,11447,2,196,15,Ashley Owusu,3,01,Shakira Austin,LAYUP,2,8.0,30.0,01 Shakira Austin LAYUP GOOD (15 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11447,2,174,15,Ashley Owusu,4,05,Kaila Charles,LAYUP,2,8.0,32.0,05 Kaila Charles LAYUP GOOD (2 Pt); 15 Ashley Owusu Assist (4 Asst)
2019,11447,2,4,13,Faith Masonius,1,14,Diamond Miller,JUMPER,2,17.0,34.0,14 Diamond Miller JUMPER GOOD (2 Pt); 13 Faith Masonius Assist (1 Asst)
2019,11447,3,454,15,Ashley Owusu,5,05,Kaila Charles,LAYUP,2,22.0,36.0,05 Kaila Charles LAYUP GOOD (4 Pt); 15 Ashley Owusu Assist (5 Asst)
2019,11447,4,559,01,Shakira Austin,2,22,Blair Watson,3PTR,3,37.0,49.0,22 Blair Watson 3PTR GOOD (10 Pt); 01 Shakira Austin Assist (2 Asst)
2019,11447,4,469,11,Taylor Mikesell,1,14,Diamond Miller,3PTR,3,37.0,52.0,14 Diamond Miller 3PTR GOOD (7 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11447,4,424,11,Taylor Mikesell,2,22,Blair Watson,3PTR,3,37.0,55.0,22 Blair Watson 3PTR GOOD (13 Pt); 11 Taylor Mikesell Assist (2 Asst)
2019,11447,4,325,14,Diamond Miller,3,22,Blair Watson,3PTR,3,37.0,59.0,22 Blair Watson 3PTR GOOD (16 Pt); 14 Diamond Miller Assist (3 Asst)
2019,11447,4,280,14,Diamond Miller,4,22,Blair Watson,3PTR,3,37.0,62.0,22 Blair Watson 3PTR GOOD (19 Pt); 14 Diamond Miller Assist (4 Asst)
2019,11448,1,388,15,Ashley Owusu,1,05,Kaila Charles,LAYUP,2,4.0,0.0,05 Kaila Charles LAYUP GOOD (2 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11448,1,298,22,Blair Watson,1,01,Shakira Austin,LAYUP,2,6.0,1.0,01 Shakira Austin LAYUP GOOD (2 Pt); 22 Blair Watson Assist (1 Asst)
2019,11448,1,181,14,Diamond Miller,1,05,Kaila Charles,LAYUP,2,8.0,3.0,05 Kaila Charles LAYUP GOOD (4 Pt); 14 Diamond Miller Assist (1 Asst)
