"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2019,11442,"Maryland","D. MILLER",14,"G",33,"4-12",33.3,"0-3",0.0,"2-2",100.0,5,3,0,1,1,10,1,4,3,0,12.0,18.53,0.303,4,12,0,3,2,2,1
2019,11442,"Maryland","A. OWUSU",15,"G",37,"7-14",50.0,"0-1",0.0,"3-6",50.0,7,3,2,0,0,17,2,5,3,0,15.0,23.92,0.459,7,14,0,1,3,6,1
2019,11442,"Maryland","S. JONES",24,"F",22,"2-7",28.6,"0-0",0.0,"0-0",0.0,2,1,0,3,0,4,0,2,3,0,5.0,15.11,0.182,2,7,0,0,0,0,1
2019,11442,"Maryland","S. AUSTIN",1,"F",14,"0-3",0.0,"0-0",0.0,"2-2",100.0,2,0,2,1,0,2,1,1,2,0,0.0,19.94,0.143,0,3,0,0,2,2,0
2019,11442,"Maryland","F. MASONIUS",13,"F",20,"2-5",40.0,"1-2",50.0,"0-0",0.0,5,1,0,3,1,5,0,5,4,0,12.0,11.87,0.25,2,5,1,2,0,0,0
2019,11442,"Maryland","B. WATSON",22,"G",20,"2-6",33.3,"1-4",25.0,"0-0",0.0,1,0,1,1,0,5,1,0,3,0,2.0,16.62,0.25,2,6,1,4,0,0,0
2019,11442,"Maryland","S. VUJACIC",32,"G",3,"0-0",0.0,"0-0",0.0,"0-0",0.0,1,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0
2019,11442,"South Carolina","Z. COOKE",1,"G",23,"2-9",22.2,"0-3",0.0,"6-6",100.0,4,1,4,0,0,10,1,3,4,0,4.0,30.85,0.435,2,9,0,3,6,6,1
2019,11442,"South Carolina","A. BOSTON",4,"F",32,"6-10",60.0,"0-0",0.0,"2-2",100.0,7,1,0,0,5,14,2,5,3,0,23.0,15.43,0.438,6,10,0,0,2,2,1
2019,11442,"South Carolina","B. BEAL",12,"G",26,"0-6",0.0,"0-2",0.0,"8-12",66.7,10,4,0,1,1,8,2,8,0,0,14.0,19.68,0.308,0,6,0,2,8,12,1
2019,11442,"South Carolina","M. HERBERT HARRIGAN",21,"F",30,"4-12",33.3,"0-2",0.0,"0-0",0.0,7,2,2,1,2,8,1,6,2,0,10.0,21.17,0.267,4,12,0,2,0,0,1
2019,11442,"South Carolina","T. HARRIS",52,"G",38,"3-14",21.4,"1-1",100.0,"6-6",100.0,6,4,3,0,0,13,0,6,0,0,9.0,23.45,0.342,3,14,1,1,6,6,1
2019,11442,"South Carolina","D. HENDERSON",3,"G",21,"2-6",33.3,"0-1",0.0,"0-0",0.0,5,0,2,1,0,4,1,4,1,0,4.0,17.28,0.19,2,6,0,1,0,0,0
2019,11442,"South Carolina","V. SAXTON",5,"F",12,"1-2",50.0,"0-0",0.0,"0-0",0.0,3,0,1,0,0,2,0,3,1,0,3.0,11.34,0.167,1,2,0,0,0,0,0
2019,11442,"South Carolina","L. AMIHERE",15,"F",6,"0-0",0.0,"0-0",0.0,"1-2",50.0,1,0,1,1,0,1,0,1,0,0,1.0,0.0,0.0,0,0,0,0,1,2,0
2019,11442,"South Carolina","L. GRISSETT",24,"F",12,"1-1",100.0,"0-0",0.0,"1-2",50.0,4,0,1,0,0,3,4,0,3,0,5.0,10.89,0.25,1,1,0,0,1,2,0
2019,11443,"James Madison","K. SMALLS",3,"G",24,"4-12",33.3,"2-6",33.3,"4-4",100.0,3,0,7,3,0,14,1,2,4,0,5.0,39.23,0.583,4,12,2,6,4,4,1
2019,11443,"James Madison","M. GREEN",4,"G",33,"2-9",22.2,"2-4",50.0,"1-2",50.0,2,4,2,2,0,7,0,2,0,0,5.0,16.33,0.212,2,9,2,4,1,2,1
2019,11443,"James Madison","L. BARRIER",15,"G",35,"3-14",21.4,"0-4",0.0,"3-4",75.0,6,0,3,1,1,9,2,4,2,0,2.0,24.31,0.257,3,14,0,4,3,4,1
2019,11443,"James Madison","K. JEFFERSON",30,"G",27,"5-8",62.5,"2-3",66.7,"4-6",66.7,7,2,1,0,0,16,1,6,3,0,19.0,19.55,0.593,5,8,2,3,4,6,1
2019,11443,"James Madison","K. COOPER-WILLIAMS",31,"C",37,"4-8",50.0,"0-0",0.0,"0-0",0.0,4,0,1,0,4,8,2,2,3,0,11.0,11.03,0.216,4,8,0,0,0,0,1
2019,11443,"James Madison","N. OPPENHEIMER",0,"G",12,"2-3",66.7,"2-3",66.7,"0-0",0.0,0,0,1,0,0,6,0,0,0,0,4.0,15.12,0.5,2,3,2,3,0,0,0
2019,11443,"James Madison","J. CARODINE",2,"G",16,"3-6",50.0,"0-1",0.0,"2-5",40.0,3,1,1,2,0,8,0,3,2,0,7.0,26.08,0.5,3,6,0,1,2,5,0
