source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2016,9670,1,162,12,Kristen Confroy,1,32,S. Walker-Kimbrough,LAYUP,2,2.0,18.0,32 S. Walker-Kimbrough LAYUP GOOD (8 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9670,1,33,21,Sarah Myers,1,32,S. Walker-Kimbrough,LAYUP,2,4.0,22.0,32 S. Walker-Kimbrough LAYUP GOOD (10 Pt); 21 Sarah Myers Assist (1 Asst)
2016,9670,2,583,05,Destiny Slocum,1,42,Brionna Jones,LAYUP,2,4.0,26.0,42 Brionna Jones LAYUP GOOD (6 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9670,2,564,42,Brionna Jones,1,32,S. Walker-Kimbrough,LAYUP,2,4.0,28.0,32 S. Walker-Kimbrough LAYUP GOOD (12 Pt); 42 Brionna Jones Assist (1 Asst)
2016,9670,2,346,01,Ieshia Small,1,34,Brianna Fraser,LAYUP,2,6.0,34.0,34 Brianna Fraser LAYUP GOOD (4 Pt); 01 Ieshia Small Assist (1 Asst)
2016,9670,2,239,01,Ieshia Small,2,42,Brionna Jones,LAYUP,2,6.0,38.0,42 Brionna Jones LAYUP GOOD (10 Pt); 01 Ieshia Small Assist (2 Asst)
2016,9670,2,147,12,Kristen Confroy,2,03,Kaila Charles,LAYUP,2,10.0,40.0,03 Kaila Charles LAYUP GOOD (4 Pt); 12 Kristen Confroy Assist (2 Asst)
2016,9670,2,50,01,Ieshia Small,3,12,Kristen Confroy,3PTR,3,13.0,45.0,12 Kristen Confroy 3PTR GOOD (5 Pt); 01 Ieshia Small Assist (3 Asst)
2016,9670,2,12,12,Kristen Confroy,3,03,Kaila Charles,LAYUP,2,13.0,47.0,03 Kaila Charles LAYUP GOOD (6 Pt); 12 Kristen Confroy Assist (3 Asst)
2016,9670,3,509,12,Kristen Confroy,4,42,Brionna Jones,LAYUP,2,18.0,51.0,42 Brionna Jones LAYUP GOOD (12 Pt); 12 Kristen Confroy Assist (4 Asst)
2016,9670,3,457,32,S. Walker-Kimbrough,2,42,Brionna Jones,LAYUP,2,18.0,53.0,42 Brionna Jones LAYUP GOOD (14 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
2016,9670,3,43,01,Ieshia Small,4,32,S. Walker-Kimbrough,JUMPER,2,28.0,64.0,32 S. Walker-Kimbrough JUMPER GOOD (20 Pt); 01 Ieshia Small Assist (4 Asst)
2016,9670,4,585,15,Kiah Gillespie,1,14,Jenna Staiti,JUMPER,2,28.0,68.0,14 Jenna Staiti JUMPER GOOD (2 Pt); 15 Kiah Gillespie Assist (1 Asst)
2016,9670,4,143,21,Sarah Myers,2,24,Stephanie Jones,LAYUP,2,35.0,81.0,24 Stephanie Jones LAYUP GOOD (6 Pt); 21 Sarah Myers Assist (2 Asst)
2016,9670,4,32,14,Jenna Staiti,1,24,Stephanie Jones,LAYUP,2,40.0,83.0,24 Stephanie Jones LAYUP GOOD (8 Pt); 14 Jenna Staiti Assist (1 Asst)
2016,9671,1,500,12,Kristen Confroy,1,05,Destiny Slocum,3PTR,3,5.0,2.0,05 Destiny Slocum 3PTR GOOD (3 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9671,1,244,32,S. Walker-Kimbrough,1,24,Stephanie Jones,LAYUP,2,10.0,12.0,24 Stephanie Jones LAYUP GOOD (2 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
2016,9671,1,139,22,Blair Watson,1,32,S. Walker-Kimbrough,JUMPER,2,14.0,15.0,32 S. Walker-Kimbrough JUMPER GOOD (2 Pt); 22 Blair Watson Assist (1 Asst)
2016,9671,2,585,05,Destiny Slocum,1,03,Kaila Charles,LAYUP,2,18.0,20.0,03 Kaila Charles LAYUP GOOD (2 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9671,2,545,01,Ieshia Small,1,03,Kaila Charles,LAYUP,2,20.0,23.0,03 Kaila Charles LAYUP GOOD (4 Pt); 01 Ieshia Small Assist (1 Asst)
