"opponent","season","file_id","date","location","is_home","maryland_score","opponent_score","result","margin"
"Minnesota","2016-17","9694","2/26/2017","College Park, Md. (XFINITY Center)",1,93,60,"W",33
"Minnesota","2016-17","9695","3/3/2017","Indianapolis, Ind. (Bankers Life FH)",1,92,80,"W",12
"Michigan State","2016-17","9696","3/4/2017","Indianapolis, Ind. (Bankers Life FH)",1,100,89,"W",11
"Purdue","2016-17","9697","3/5/2017","Bankers Life Fieldhouse-Indianapolis, IN",1,74,64,"W",10
"Bucknell","2016-17","9698","3/17/2017","College Park, Md. (XFINITY Center)",1,103,61,"W",42
"West Virginia","2016-17","9699","3/19/2017","College Park, Md. (XFINITY Center)",1,83,56,"W",27
"Oregon","2016-17","9700","3/25/2017","Bridgeport, Conn. (Webster Bank Arena)",1,63,77,"L",-14
"Albany","2017-18","9713","11/10/2017","College Park, Md. (XFINITY Center)",1,91,58,"W",33
"South Carolina","2017-18","9714","11/13/2017","College Park, Md. (XFINITY Center)",1,86,94,"L",-8
"Niagara","2017-18","9715","11/16/2017","College Park, Md. (XFINITY Center)",1,92,65,"W",27
"UConn","2017-18","9716","11/19/2017","XL Center (Hartford, Conn.)",0,72,97,"L",-25
"Howard","2017-18","9717","11/21/2017","College Park, Md. (XFINITY Center)",1,111,49,"W",62
"Kennesaw State","2017-18","9718","11/24/2017","Watsco Center | Coral Gables, Fla.",0,89,35,"W",54
"Miami","2017-18","9719","11/26/2017","Coral Gables, Fla. (Watsco Center)",0,79,71,"W",8
"Virginia","2017-18","9720","11/29/2017","Charlottesville, Va. (JPJ Arena)",0,60,59,"W",1
"Akron","2017-18","9721","12/2/2017","Akron, Ohio (James A. Rhodes Arena)",0,75,54,"W",21
"Mount St. Mary's","2017-18","9722","12/6/2017","College Park, Md. (XFINITY Center)",1,97,57,"W",40
"George Washington","2017-18","9723","12/8/2017","College Park, Md. (XFINITY Center)",1,80,54,"W",26
"Loyola","2017-18","9724","12/11/2017","College Park, Md. (XFINITY Center)",1,114,45,"W",69
"Coppin State","2017-18","9725","12/20/2017","Baltimore, Md. (PEC Arena)",0,113,49,"W",64
"Illinois","2017-18","9726","12/28/2017","College Park, Md. (XFINITY Center)",1,100,65,"W",35
"Penn State","2017-18","9727","12/31/2017","University Park, Pa. (BJC)",0,69,65,"W",4
"Iowa","2017-18","9728","1/4/2018","College Park, Md. (XFINITY Center)",1,80,64,"W",16
"Wisconsin","2017-18","9729","1/7/2018","Kohl Center, Madison, Wis.",0,71,44,"W",27
"Michigan State","2017-18","9730","1/11/2018","College Park, Md. (XFINITY Center)",1,68,82,"L",-14
"Indiana","2017-18","9731","1/16/2018","College Park, Md. (XFINITY Center)",1,74,70,"W",4
"Ohio State","2017-18","9732","1/22/2018","College Park, Md. (XFINITY Center)",1,99,69,"W",30
"Northwestern","2017-18","9733","1/25/2018","Evanston, Ill. (Evanston Township HS)",0,68,65,"W",3
"Rutgers","2017-18","9734","2/1/2018","College Park, Md. (XFINITY Center)",1,88,60,"W",28
"Nebraska","2017-18","9735","2/4/2018","Lincoln, Neb. (Pinnacle Bank Arena)",0,64,57,"W",7
"Michigan State","2017-18","9736","2/8/2018","East Lansing, Mich. (Breselin Center)",0,76,68,"W",8
"Rutgers","2017-18","9737","2/11/2018","Piscataway, N.J. (The RAC)",0,72,54,"W",18
"Purdue","2017-18","9738","2/15/2018","College Park, Md. (XFINITY Center)",1,65,75,"L",-10
"Minnesota","2017-18","9739","2/18/2018","Minneapolis, Minn. (Williams Arena)",0,74,93,"L",-19
"Michigan","2017-18","9740","2/22/2018","Ann Arbor, Mich. (Crisler Center)",0,65,71,"L",-6
"Nebraska","2017-18","9741","2/25/2018","College Park, Md. (XFINITY Center)",1,77,75,"W",2
"Indiana","2017-18","9742","3/2/2018","Indianapolis, Ind. (Bankers Life FH)",1,67,54,"W",13
"Nebraska","2017-18","9743","3/3/2018","Indianapolis, Ind. (Bankers Life FH)",1,66,53,"W",13
"Ohio State","2017-18","9744","3/4/2018","Indianapolis, Ind. (Bankers Life FH)",0,69,79,"L",-10
"Princeton","2017-18","9745","3/16/2018","Raleigh, N.C. (Reynolds Coliseum)",1,77,57,"W",20
"NC State","2017-18","9746","3/18/2018","Raleigh, N.C. (Reynolds Coliseum)",0,60,74,"L",-14
"Coppin State","2018-19","9885","11/9/2018","College Park, Md. (XFINITY Center)",1,93,36,"W",57
"Dayton","2018-19","9886","11/11/2018","College Park, Md. (XFINITY Center)",1,82,71,"W",11
"George Washington","2018-19","9887","11/14/2018","Washington, D.C. (Smith Center)",0,69,30,"W",39
"#10/11 South Carolina","2018-19","9888","11/18/2018","Columbia, S.C. (Colonial Life Arena)",0,85,61,"W",24
"Morgan State","2018-19","9890","11/23/2018","Trujillo Alto, PR (Coliseo Ruben Zayas)",0,68,44,"W",24
"Georgia","2018-19","9889","11/24/2018","San Juan, PR (Roberto Clemente Coliseum)",1,58,51,"W",7
"Georgia Tech","2018-19","9891","11/29/2018","College Park, Md. (XFINITY Center)",1,67,54,"W",13
"Umbc","2018-19","9892","12/2/2018","",1,92,61,"W",31
"James Madison","2018-19","9893","12/8/2018","XFINITY Center (College Park, Md.)",1,87,63,"W",24
"Loyola","2018-19","9894","12/10/2018","College Park, Md. (XFINITY Center)",1,83,48,"W",35
"Delaware","2018-19","9895","12/20/2018","Newark, Del. (Bob Carpenter Center)",0,77,53,"W",24
"Penn State","2018-19","10054","12/28/2018","University Park, Pa. (Bryce Jordan Ctr)",0,77,61,"W",16
"Rutgers","2018-19","10055","12/31/2018","College Park, Md. (XFINITY Center)",1,65,73,"L",-8
"Ohio State","2018-19","10056","1/5/2019","College Park, Md. (XFINITY Center)",1,75,69,"W",6
"Nebraska","2018-19","10057","1/8/2019","Lincoln, Neb. (Pinnacle Bank Arena)",0,81,63,"W",18
"Michigan","2018-19","10058","1/12/2019","College Park, Md. (XFINITY Center)",1,83,69,"W",14
"Michigan State","2018-19","10059","1/17/2019","East Lansing, Mich. (Breslin Center)",0,60,77,"L",-17
"Penn State","2018-19","10060","1/20/2019","College Park, Md. (XFINITY Center)",1,79,67,"W",12
"Ohio State","2018-19","10061","1/24/2019","Columbus, Ohio (Value City Arena)",0,70,57,"W",13
