"official","games","first_season","last_season","umd_wins","umd_losses","avg_fouls_total","avg_fouls_umd","avg_fouls_opp","avg_fta_umd","avg_fta_opp"
"Adrienne Gilmore-Nichols",1,"2022-23","2022-23",1,0,38.0,17.0,21.0,28.0,11.0
"Doug  Knight",1,"2022-23","2022-23",1,0,38.0,17.0,21.0,28.0,11.0
"Steve Matuszewski",1,"2022-23","2022-23",1,0,21.0,9.0,12.0,14.0,9.0
"Meghan Joseph",1,"2022-23","2022-23",1,0,21.0,9.0,12.0,14.0,9.0
"Jesse  Dickerson",1,"2022-23","2022-23",0,1,42.0,25.0,17.0,25.0,23.0
"Lauren Niemiera",1,"2022-23","2022-23",1,0,28.0,14.0,14.0,22.0,8.0
"Sha'Rae Mitchell",1,"2022-23","2022-23",1,0,26.0,14.0,12.0,17.0,13.0
"Tyler Trimble",1,"2022-23","2022-23",1,0,31.0,15.0,16.0,15.0,11.0
"Teresa Turner",1,"2022-23","2022-23",1,0,37.0,16.0,21.0,22.0,14.0
"Natosha Harris",1,"2023-24","2023-24",1,0,35.0,16.0,19.0,20.0,7.0
"Kevin Penthel",1,"2023-24","2023-24",0,1,42.0,22.0,20.0,12.0,25.0
"Neonta Williams",1,"2023-24","2023-24",1,0,41.0,18.0,23.0,29.0,12.0
"Julie Kroemmenhoek",1,"2023-24","2023-24",0,1,44.0,23.0,21.0,22.0,28.0
"Ify Seales",1,"2023-24","2023-24",1,0,42.0,19.0,23.0,28.0,18.0
"Charles Gonzalez",1,"2023-24","2023-24",0,1,39.0,24.0,15.0,15.0,24.0
"In'FIni Robinson",1,"2023-24","2023-24",0,1,39.0,24.0,15.0,15.0,24.0
"Krystle Apellaniz",1,"2024-25","2024-25",1,0,30.0,12.0,18.0,24.0,10.0
"Gerda Gatling",1,"2024-25","2024-25",1,0,31.0,12.0,19.0,24.0,12.0
"Kristen Csontos",1,"2024-25","2024-25",1,0,44.0,20.0,24.0,27.0,8.0
"Kevin Dillard",1,"2024-25","2024-25",1,0,44.0,20.0,24.0,27.0,8.0
"Alyssa Hann",1,"2024-25","2024-25",1,0,45.0,24.0,21.0,23.0,27.0
"Deanna Jackson",1,"2024-25","2024-25",1,0,33.0,12.0,21.0,25.0,11.0
"Alganese Carr",1,"2025-26","2025-26",1,0,33.0,18.0,15.0,20.0,9.0
"Kristie Watkins-Day",1,"2025-26","2025-26",1,0,30.0,13.0,17.0,18.0,14.0
"Maggie Tiemen",1,"2025-26","2025-26",1,0,30.0,13.0,17.0,18.0,14.0
"Charles Watson",1,"2025-26","2025-26",1,0,31.0,13.0,18.0,22.0,10.0
"Henry Sevilla",1,"2025-26","2025-26",1,0,28.0,11.0,17.0,23.0,8.0
"Rebeca Davila",1,"2025-26","2025-26",1,0,28.0,8.0,20.0,32.0,8.0
"Xiomara Cruz",1,"2025-26","2025-26",1,0,28.0,8.0,20.0,32.0,8.0
"Robert Miles",1,"2025-26","2025-26",1,0,38.0,11.0,27.0,27.0,12.0
"In'Fini  Robinson",1,"2025-26","2025-26",1,0,40.0,22.0,18.0,19.0,22.0
"Michol  Murray",1,"2025-26","2025-26",0,1,26.0,11.0,15.0,12.0,9.0
"S. Brian Hall",1,"2025-26","2025-26",1,0,37.0,20.0,17.0,20.0,16.0
"Chuck Gonzalez",1,"2025-26","2025-26",0,1,38.0,17.0,21.0,17.0,19.0
"Tashianna Smith",1,"2025-26","2025-26",1,0,42.0,20.0,22.0,22.0,10.0
