"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","trip_size","made","missed","trip_result","first_attempt_made","margin_before","clutch","trip_context"
"2018-19","9895",2,58,1142,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,11,0,""
"2018-19","9895",3,472,1328,"Delaware","Abby Gonzales",2,1,1,0,"1/1",1,-13,0,"and_one"
"2018-19","9895",3,406,1394,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,12,0,""
"2018-19","9895",3,343,1457,"Maryland","Brianna Fraser",34,1,1,0,"1/1",1,13,0,"and_one"
"2018-19","9895",3,282,1518,"Delaware","Paris McBride",4,2,2,0,"2/2",1,-15,0,""
"2018-19","9895",3,117,1683,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,15,0,""
"2018-19","9895",3,78,1722,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,14,0,""
"2018-19","9895",4,354,2046,"Delaware","Makeda Nicholas",5,2,2,0,"2/2",1,-19,0,""
"2018-19","9895",4,305,2095,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,17,0,""
"2018-19","9895",4,263,2137,"Delaware","Abby Gonzales",2,2,1,1,"1/2",0,-18,0,""
"2018-19","9895",4,139,2261,"Maryland","Shakira Austin",1,1,0,1,"0/1",0,23,0,"and_one"
"2018-19","9895",4,134,2266,"Delaware","Jasmine Dickey",20,2,1,1,"1/2",0,-23,0,""
"2018-19","9895",4,88,2312,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,22,0,""
"2018-19","9910",1,508,92,"Michigan State","Shay Colley",0,2,2,0,"2/2",1,-2,0,""
"2018-19","9910",1,465,135,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,2,0,""
"2018-19","9910",1,431,169,"Michigan State","Nia Clouden",24,2,0,2,"0/2",0,-2,0,""
"2018-19","9910",1,305,295,"Michigan State","Shay Colley",0,2,2,0,"2/2",1,-5,0,""
"2018-19","9910",1,247,353,"Maryland","Kaila Charles",5,2,1,1,"1/2",1,3,0,""
"2018-19","9910",1,74,526,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,2,0,""
"2018-19","9910",2,548,652,"Michigan State","Jenna Allen",33,2,2,0,"2/2",1,-7,0,""
"2018-19","9910",2,345,855,"Maryland","Brianna Fraser",34,1,1,0,"1/1",1,11,0,"and_one"
"2018-19","9910",2,253,947,"Maryland","Shakira Austin",1,2,1,1,"1/2",0,12,0,""
"2018-19","9910",2,169,1031,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,9,0,""
"2018-19","9910",2,154,1046,"Michigan State","Jenna Allen",33,1,0,1,"0/1",0,-8,0,"and_one"
"2018-19","9910",2,62,1138,"Michigan State","Shay Colley",0,1,0,1,"0/1",0,-4,0,"and_one"
"2018-19","9910",3,576,1224,"Maryland","Stephanie Jones",24,1,0,1,"0/1",0,4,0,"and_one"
"2018-19","9910",3,465,1335,"Maryland","Kaila Charles",5,2,1,1,"1/2",1,7,0,""
"2018-19","9910",3,439,1361,"Maryland","Kaila Charles",5,2,1,1,"1/2",1,8,0,""
"2018-19","9910",3,404,1396,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,9,0,""
"2018-19","9910",3,239,1561,"Michigan State","Mardrekia Cook",2,2,2,0,"2/2",1,-15,0,""
"2018-19","9910",3,148,1652,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,17,0,""
"2018-19","9910",3,136,1664,"Michigan State","Mardrekia Cook",2,2,2,0,"2/2",1,-19,0,""
