"source_id","lineup","games","stints","seconds","minutes","pts_for","pts_against","plus_minus","net_per_40"
"2015-16","A'Lexus Harrison|Brene Moseley|Chloe Pavlech|Kiah Gillespie|Kiara Leslie",1,1,40,0.7,0,4,-4,""
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Chloe Pavlech|S. Walker-Kimbrough",1,1,40,0.7,4,2,2,""
"2015-16","Aja Ellison|Brene Moseley|Kiara Leslie|Kristen Confroy|Malina Howard",1,1,36,0.6,0,0,0,""
"2015-16","A'Lexus Harrison|Chloe Pavlech|Kiara Leslie|Malina Howard|Tierney Pfirman",1,1,36,0.6,0,5,-5,""
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Kiara Leslie|S. Walker-Kimbrough",1,1,29,0.5,2,0,2,""
"2015-16","Brianna Fraser|Chloe Pavlech|Kiara Leslie|Kristen Confroy|Malina Howard",1,1,26,0.4,0,2,-2,""
"2015-16","Aja Ellison|Brene Moseley|Brianna Fraser|Kiara Leslie|Kristen Confroy",1,1,23,0.4,3,0,3,""
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|S. Walker-Kimbrough|Tierney Pfirman",2,2,22,0.4,0,0,0,""
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",1,1,21,0.3,0,0,0,""
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kristen Confroy|Malina Howard",1,1,17,0.3,0,2,-2,""
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kristen Confroy",1,1,17,0.3,0,0,0,""
"2015-16","Brene Moseley|Brianna Fraser|Kiara Leslie|Kristen Confroy|S. Walker-Kimbrough",1,1,17,0.3,0,0,0,""
"2015-16","Brene Moseley|Kiah Gillespie|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",1,1,16,0.3,0,0,0,""
"2015-16","Brianna Fraser|Kiah Gillespie|Kiara Leslie|Kristen Confroy|S. Walker-Kimbrough",1,1,15,0.2,0,2,-2,""
"2015-16","A'Lexus Harrison|Aja Ellison|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",1,1,14,0.2,0,0,0,""
"2015-16","Brianna Fraser|Chloe Pavlech|Kiara Leslie|S. Walker-Kimbrough|Tierney Pfirman",1,1,12,0.2,0,0,0,""
"2015-16","Brene Moseley|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",1,2,5,0.1,4,0,4,""
"2015-16","Brene Moseley|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kristen Confroy",1,1,3,0.1,0,0,0,""
"2015-16","Brionna Jones|Kiah Gillespie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",1,1,2,0.0,0,0,0,""
"2015-16","Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Kristen Confroy|Tierney Pfirman",1,1,1,0.0,0,0,0,""
