source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13138,2,238,12,Elisa Pinzan,3,01,Diamond Miller,LAYUP,2,20.0,26.0,01 Diamond Miller LAYUP GOOD (7 Pt); 12 Elisa Pinzan Assist (3 Asst)
2022,13138,2,205,12,Elisa Pinzan,4,13,Faith Masonius,LAYUP,2,20.0,28.0,13 Faith Masonius LAYUP GOOD (6 Pt); 12 Elisa Pinzan Assist (4 Asst)
2022,13138,2,53,12,Elisa Pinzan,5,01,Diamond Miller,LAYUP,2,26.0,34.0,01 Diamond Miller LAYUP GOOD (13 Pt); 12 Elisa Pinzan Assist (5 Asst)
2022,13138,3,355,10,Abby Meyers,2,01,Diamond Miller,LAYUP,2,38.0,40.0,01 Diamond Miller LAYUP GOOD (17 Pt); 10 Abby Meyers Assist (2 Asst)
2022,13138,3,187,01,Diamond Miller,1,10,Abby Meyers,JUMPER,2,42.0,46.0,10 Abby Meyers JUMPER GOOD (5 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13138,3,32,10,Abby Meyers,3,13,Faith Masonius,LAYUP,2,46.0,50.0,13 Faith Masonius LAYUP GOOD (8 Pt); 10 Abby Meyers Assist (3 Asst)
2022,13138,4,519,12,Elisa Pinzan,6,10,Abby Meyers,3PTR,3,47.0,56.0,10 Abby Meyers 3PTR GOOD (8 Pt); 12 Elisa Pinzan Assist (6 Asst)
2022,13138,4,499,10,Abby Meyers,4,12,Elisa Pinzan,3PTR,3,47.0,59.0,12 Elisa Pinzan 3PTR GOOD (7 Pt); 10 Abby Meyers Assist (4 Asst)
2022,13138,4,472,13,Faith Masonius,1,10,Abby Meyers,JUMPER,2,47.0,61.0,10 Abby Meyers JUMPER GOOD (10 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13138,4,345,01,Diamond Miller,2,10,Abby Meyers,3PTR,3,54.0,64.0,10 Abby Meyers 3PTR GOOD (13 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13138,4,304,01,Diamond Miller,3,12,Elisa Pinzan,JUMPER,2,57.0,66.0,12 Elisa Pinzan JUMPER GOOD (9 Pt); 01 Diamond Miller Assist (3 Asst)
2022,13139,1,539,12,Elisa Pinzan,1,13,Faith Masonius,LAYUP,2,2.0,2.0,13 Faith Masonius LAYUP GOOD (2 Pt); 12 Elisa Pinzan Assist (1 Asst)
2022,13139,1,129,24,Bri McDaniel,1,01,Diamond Miller,3PTR,3,7.0,13.0,01 Diamond Miller 3PTR GOOD (5 Pt); 24 Bri McDaniel Assist (1 Asst)
2022,13139,2,518,01,Diamond Miller,1,10,Abby Meyers,3PTR,3,13.0,20.0,10 Abby Meyers 3PTR GOOD (3 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13139,2,444,15,Mila Reynolds,1,05,Brinae Alexander,LAYUP,2,15.0,23.0,05 Brinae Alexander LAYUP GOOD (2 Pt); 15 Mila Reynolds Assist (1 Asst)
2022,13139,2,373,30,Lavender Briggs,1,12,Elisa Pinzan,3PTR,3,20.0,23.0,12 Elisa Pinzan 3PTR GOOD (3 Pt); 30 Lavender Briggs Assist (1 Asst)
